Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
BERKSHIRE HATHAWAY INC,BRK.A,Common,3290,-188,317814000,-136413000,17.25,,Hist,12/31/2008
Philip Morris International Inc.,PM,Common,6027731,-297419,262267000,-41973000,14.24,,Hist,12/31/2008
MARTIN MARIETTA MATERIALS INC,MLM,Common,1798550,-125148,174603000,-40813000,9.48,,Hist,12/31/2008
WELLS FARGO & COMPANY/MN,WFC,Common,5879286,-698487,173321000,-73543000,9.41,,Hist,12/31/2008
COMCAST CORP,CMCSK,Common,9940318,125740,160536000,-33007000,8.71,,Hist,12/31/2008
"ALTRIA GROUP, INC.",MO,Common,7073205,-332304,106522000,-40403000,5.78,,Hist,12/31/2008
UNILEVER N V,UN,N Y SHS NEW,3345125,-498423,82123000,-26111000,4.46,,Hist,12/31/2008
BERKSHIRE HATHAWAY INC,BRK.B,CL B,23627,-660,75937000,-30804000,4.12,,Hist,12/31/2008
BROWN FORMAN CORP,BF.A,CL A,1505309,-146456,75265000,-42010000,4.09,,Hist,12/31/2008
Graham Holdings Co,WPO,Cl B,187070,-6026,73004000,-34504000,3.96,,Hist,12/31/2008
"Scripps Networks Interactive, Inc.",SNI,Common,2814037,-358890,61909000,-53300000,3.36,,Hist,12/31/2008
HASBRO INC,HAS,Common,1171149,-1017292,34162000,-41821000,1.85,,Hist,12/31/2008
BROWN FORMAN CORP,BF.B,CL B,596680,345560,30723000,12690000,1.67,,Hist,12/31/2008
DIAGEO PLC,DEO,SPON ADR NEW,460918,30690,26152000,-3474000,1.42,,Hist,12/31/2008
EXXON MOBIL CORP,XOM,Common,250602,656,20006000,595000,1.09,,Hist,12/31/2008
ABBOTT LABORATORIES,ABT,Common,367706,-50275,19624000,-4443000,1.07,,Hist,12/31/2008
MARKEL CORP,MKL,Common,61184,-8650,18294000,-6253000,0.99,,Hist,12/31/2008
HORMEL FOODS CORP /DE/,HRL,Common,385173,-24252,11971000,-2883000,0.65,,Hist,12/31/2008
MILLER HERMAN INC,MLHR,Common,864206,-118350,11261000,-12782000,0.61,,Hist,12/31/2008
Mastercard Inc,MA,CL A,53190,23760,7602000,2383000,0.41,,Hist,12/31/2008
PEPSICO INC,PEP,Common,113050,2855,6192000,-1662000,0.34,,Hist,12/31/2008
Vulcan Materials CO,VMC,Common,79250,-125,5514000,-399000,0.30,,Hist,12/31/2008
PROCTER & GAMBLE Co,PG,Common,80002,7992,4946000,-72000,0.27,,Hist,12/31/2008
Royal Dutch Shell plc,RDS.A,SPONS ADR A,68939,-3480,3650000,-623000,0.20,,Hist,12/31/2008
ARMSTRONG WORLD INDUSTRIES INC,AWI,Common,168403,-15779,3641000,-1682000,0.20,,Hist,12/31/2008
CRANE CO /DE/,CR,Common,207124,-6100,3571000,-2764000,0.19,,Hist,12/31/2008
JOHNSON & JOHNSON,JNJ,Common,56415,-11227,3375000,-1311000,0.18,,Hist,12/31/2008
STAPLES INC,SPLS,Common,187067,-2120,3352000,-905000,0.18,,Hist,12/31/2008
"Mondelez International, Inc.",KFT,Common,107135,-105036,2877000,-4072000,0.16,,Hist,12/31/2008
WAL MART STORES INC,WMT,Common,45168,-650,2532000,-212000,0.14,,Hist,12/31/2008
CHEVRON CORP,CVX,Common,33300,-1116,2463000,-376000,0.13,,Hist,12/31/2008
"CISCO SYSTEMS, INC.",CSCO,Common,149750,-12450,2441000,-1218000,0.13,,Hist,12/31/2008
MICROSOFT CORP,MSFT,Common,124808,-144,2426000,-909000,0.13,,Hist,12/31/2008
ENCANA CORP,ECA,Common,51500,-10250,2394000,-1665000,0.13,,Hist,12/31/2008
PROGRESSIVE CORP/OH/,PGR,Common,159959,-297100,2369000,-5584000,0.13,,Hist,12/31/2008
AMERICAN TOWER CORP /MA/,AMT,Common,77800,-200,2281000,-525000,0.12,,Hist,12/31/2008
CONOCOPHILLIPS,COP,Common,43278,7270,2242000,-396000,0.12,,Hist,12/31/2008
LEUCADIA NATIONAL CORP,LUK,Common,108236,17050,2143000,-2000000,0.12,,Hist,12/31/2008
MCCORMICK & CO INC,MKC,Common,65500,0,2087000,-431000,0.11,,Hist,12/31/2008
DOVER Corp,DOV,Common,60250,-3440,1983000,-600000,0.11,,Hist,12/31/2008
DEVON ENERGY CORP/DE,DVN,Common,30000,-10000,1971000,-1677000,0.11,,Hist,12/31/2008
GENERAL ELECTRIC CO,GE,Common,108685,-16575,1761000,-1433000,0.10,,Hist,12/31/2008
E.W. SCRIPPS Co,SSP,Common Stock,744043,-310180,1644000,-5809000,0.09,,Hist,12/31/2008
MCDONALDS CORP,MCD,Common,25095,-1300,1561000,-68000,0.08,,Hist,12/31/2008
CARLISLE COMPANIES INC,CSL,Common,71238,-1600,1475000,-708000,0.08,,Hist,12/31/2008
FULTON FINANCIAL CORP,FULT,Common,148610,14035,1430000,-38000,0.08,,Hist,12/31/2008
AMERICAN EXPRESS CO,AXP,Common,73438,-6510,1362000,-1471000,0.07,,Hist,12/31/2008
COCA COLA CO,KO,Common,28771,6325,1302000,115000,0.07,,Hist,12/31/2008
PFIZER INC,PFE,Common,66276,-11650,1174000,-263000,0.06,,Hist,12/31/2008
HEARTLAND EXPRESS INC,HTLD,Common,71757,-11499,1131000,-161000,0.06,,Hist,12/31/2008
JPMORGAN CHASE & CO,JPM,Common,35000,-1750,1104000,-612000,0.06,,Hist,12/31/2008
VORNADO REALTY TRUST,VNO,SH BEN INT,17000,0,1026000,-520000,0.06,,Hist,12/31/2008
MESA ROYALTY TRUST/TX,MTR,UNIT BEN INT,23000,0,920000,-523000,0.05,,Hist,12/31/2008
MATTEL INC /DE/,MAT,Common,57000,-1250,912000,-139000,0.05,,Hist,12/31/2008
APTARGROUP INC,ATR,Common,25384,-200,895000,-106000,0.05,,Hist,12/31/2008
GENERAL DYNAMICS CORP,GD,Common,15000,600,864000,-196000,0.05,,Hist,12/31/2008
COMCAST CORP,CMCSA,Common,49761,9450,840000,49000,0.05,,Hist,12/31/2008
"SPECTRUM MANAGEMENT HOLDING COMPANY, LLC",TWC,CL A,35151,-5379,754000,-227000,0.04,,Hist,12/31/2008
INTERNATIONAL BUSINESS MACHINES CORP,IBM,Common,7520,-14900,633000,-1989000,0.03,,Hist,12/31/2008
DEERE & CO,DE,Common,16275,-5725,624000,-465000,0.03,,Hist,12/31/2008
3M CO,MMM,Common,10300,0,593000,-111000,0.03,,Hist,12/31/2008
BP PLC,BP,SPONSORED ADR,12528,0,586000,-43000,0.03,,Hist,12/31/2008
"SUN MICROSYSTEMS, INC.",JAVA,Common,150000,-100000,573000,-1327000,0.03,,Hist,12/31/2008
"PNC FINANCIAL SERVICES GROUP, INC.",PNC,Common,11560,0,566000,-298000,0.03,,Hist,12/31/2008
COSTCO WHOLESALE CORP /NEW,COST,Common,10600,-1600,557000,-235000,0.03,,Hist,12/31/2008
MONSANTO CO /NEW/,MON,Common,7900,-150,556000,-241000,0.03,,Hist,12/31/2008
BANK OF AMERICA CORP /DE/,BAC,Common,38400,-10000,541000,-1153000,0.03,,Hist,12/31/2008
AUTOMATIC DATA PROCESSING INC,ADP,Common,13400,0,527000,-46000,0.03,,Hist,12/31/2008
SCHLUMBERGER LIMITED/NV,SLB,Common,11300,0,478000,-404000,0.03,,Hist,12/31/2008
CADBURY PUBLIC LTD CO,CBY,COM,13014,2000,464000,13000,0.03,,Hist,12/31/2008
Walt Disney Co,DIS,Common,20029,-2100,454000,-225000,0.02,,Hist,12/31/2008
AES CORP,AES,Common,52900,-3100,436000,-219000,0.02,,Hist,12/31/2008
MCCLATCHY CO,MNI,CL A,530964,-4016667,424771,-19585229,,,Hist,12/31/2008
BB&T CORP,BBT,Common,15150,0,416000,-157000,0.02,,Hist,12/31/2008
BAT INDUSTRIES PLC /FI,BTI,Common,7500,0,398000,-67000,0.02,,Hist,12/31/2008
DUPONT E I DE NEMOURS & CO,DD,Common,14616,4850,370000,-24000,0.02,,Hist,12/31/2008
SUSQUEHANNA BANCSHARES INC,SUSQ,Common,23266,-2000,370000,-123000,0.02,,Hist,12/31/2008
NEXTERA ENERGY INC,FPL,Common,7300,0,367000,0,0.02,,Hist,12/31/2008
UST INC,UST,Common,5000,-2507444,347000,-166831000,0.02,,Hist,12/31/2008
Owens Corning,OC,Common,20000,-5000,346000,-252000,0.02,,Hist,12/31/2008
Royal Dutch Shell plc,RDS.B,ADR,6062,0,312000,-34000,0.02,,Hist,12/31/2008
AMERICAN INTERNATIONAL GROUP INC,AIG,Common,193118,-317800,303000,-1398000,0.02,,Hist,12/31/2008
SCOTTS MIRACLE-GRO CO,SMG,CL A,10175,-31075,302000,-673000,0.02,,Hist,12/31/2008
AT&T CORP,T,Common,9980,-662,284000,-13000,0.02,,Hist,12/31/2008
NORTHERN TRUST CORP,NTRS,Common,5050,0,263000,-102000,0.01,,Hist,12/31/2008
TIME WARNER INC.,TWX,Common,25775,-375,259000,-84000,0.01,,Hist,12/31/2008
ALLEGHANY CORP /DE,Y,Common,882,0,249000,-73000,0.01,,Hist,12/31/2008
AES CORP,AES/PC,Common,6500,0,246000,-3000,0.01,,Hist,12/31/2008
MERCK SHARP & DOHME CORP.,MRK,Common,7586,0,231000,-8000,0.01,,Hist,12/31/2008
TOTAL S.A.,TOT,Common,4100,0,227000,-22000,0.01,,Hist,12/31/2008
"WESCO FINANCIAL, LLC",WSC,Common,720,0,207000,-50000,0.01,,Hist,12/31/2008
LEXINGTON REALTY TRUST,LXP,Common,38000,-11000,190000,-654000,0.01,,Hist,12/31/2008
PIONEER NATURAL RESOURCES CO,PXD,Common,11600,0,188000,-418000,0.01,,Hist,12/31/2008
HARTE HANKS INC,HHS,Common,22500,0,140000,-93000,0.01,,Hist,12/31/2008
CEMEX SAB DE CV,CX,Common,10000,-15000,91000,-340000,0.00,,Hist,12/31/2008
MEDIA GENERAL INC,MEG,Common,50000,50000,88000,88000,0.00,,Hist,12/31/2008
"ALLIANCE ONE INTERNATIONAL, INC.",AOI,Common,18000,0,53000,-15000,0.00,,Hist,12/31/2008
TigerLogic CORP,TIGR,COM,20000,-5000,36000,-59000,0.00,,Hist,12/31/2008
SCHWEITZER MAUDUIT INTERNATIONAL INC,SWM,Common,375,-1216362,7508,-23098493,,,Hist,12/31/2008
OMNICOM GROUP INC.,OMC,Common,0,-6100,0,-235000,0.00,0.00,Hist,12/31/2008
NEW YORK TIMES CO,NYT,CL A,0,-13850,0,-198000,0.00,0.00,Hist,12/31/2008
NOKIA CORP,NOK,SPONSORED ADR,0,-12965,0,-242000,0.00,0.00,Hist,12/31/2008
SUNCOR ENERGY INC,SU,Common,0,-6150,0,-259000,0.00,0.00,Hist,12/31/2008
Discover Financial Services,DFS,Common,0,-53900,0,-745000,0.00,0.00,Hist,12/31/2008
