NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE,SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
Eaton Vance Sr Income TR SF,SH BEN INT,27826s103,1854,268256,SH,,SOLE,,263256,0,5000
Pimco High Yield Fun-Instl,SH BEN INT,693390841,107,11116,SH,,SOLE,,0,0,11116
Abbott Labs,COM,002824100,3316,86503,SH,,SOLE,,83400,0,3103
AbbVie Inc,COM,00287Y109,4583,86777,SH,,SOLE,,83400,0,3377
Altria Group Inc,COM,02209s103,271615,7075151,SH,,SOLE,,6756652,0,318499
American Express,COM,025816109,11486,126595,SH,,SOLE,,103990,0,22605
American Intl Group Inc,COM,026874784,306,6000,SH,,SOLE,,6000,0,0
Anheuser-Busch InBev ADR,COM,03524a108,526381,4944404,SH,,SOLE,,4675292,0,269112
Bank Amer Corp,COM,060505104,771,49500,SH,,SOLE,,48500,0,1000
BB&T Corp,COM,054937107,1524,40829,SH,,SOLE,,40829,0,0
Berkshire Hathaway Inc Cl A,COM,084670108,903376,5078,SH,,SOLE,,4797,0,281
Berkshire Hathaway Inc Cl B,COM,084670702,274785,2317684,SH,,SOLE,,2128543,0,189141
Boeing,COM,097023105,332,2430,SH,,SOLE,,500,0,1930
BP PLC ADR,COM,055622104,1104,22707,SH,,SOLE,,5107,0,17600
British Amern Tob PLC ADR,COM,110448107,1456,13550,SH,,SOLE,,13550,0,0
Brown-Forman Corp Cl A,COM,115637100,211640,2868913,SH,,SOLE,,2726171,0,142742
Brown-Forman Corp Cl B,COM,115637209,32112,424931,SH,,SOLE,,388145,0,36786
Carlisle Inc,COM,142339100,770,9700,SH,,SOLE,,9700,0,0
Centerstate BKS FLA Inc,COM,15201p109,112,11004,SH,,SOLE,,11004,0,0
Chevron Corp,COM,166764100,8089,64761,SH,,SOLE,,48661,0,16100
CIE Financiere Richemont-Unsp,COM,204319107,1549,155125,SH,,SOLE,,155125,0,0
Coca-Cola,COM,191216100,8399,203323,SH,,SOLE,,167452,0,35871
Comcast Corp New Cl A,COM,20030n101,2741,52746,SH,,SOLE,,52746,0,0
Comcast Corp Special Cl A,COM,20030n200,237090,4753215,SH,,SOLE,,4464287,0,288928
Conocophillips,COM,20825c104,908,12856,SH,,SOLE,,11756,0,1100
Costco Whsl Corp,COM,22160k105,697,5855,SH,,SOLE,,5855,0,0
Crane,COM,224399105,11604,172552,SH,,SOLE,,153342,0,19210
Danaher Corp,COM,235851102,320,4151,SH,,SOLE,,3712,0,439
Danone ADR,COM,23636T100,2862,198475,SH,,SOLE,,195450,0,3025
Deere & Co,COM,244199105,2732,29915,SH,,SOLE,,26715,0,3200
Diageo PLC Sponsored ADR,COM,25243q205,54783,413704,SH,,SOLE,,381072,0,32632
Disney Walt Productions,COM,254687106,487,6375,SH,,SOLE,,6275,0,100
Dover Corp,COM,260003108,7827,81075,SH,,SOLE,,69675,0,11400
Du Pont E I De Nemours,COM,263534109,2832,43591,SH,,SOLE,,28591,0,15000
Exxon Mobil Corp,COM,30231g102,21345,210918,SH,,SOLE,,134100,0,76818
Fomento Economico Mex Sp ADR,COM,344419106,10732,109655,SH,,SOLE,,92375,0,17280
Fulton Finl Corp,COM,360271100,1051,80298,SH,,SOLE,,66298,0,14000
General Dynamics Corp,COM,369550108,287,3000,SH,,SOLE,,3000,0,0
General Electric,COM,369604103,1219,43501,SH,,SOLE,,5001,0,38500
Goldman Sachs Group Inc,COM,38141g104,10099,56975,SH,,SOLE,,54775,0,2200
Google Inc Cl A,COM,38259p508,1139,1016,SH,,SOLE,,966,0,50
Graham Holdings Co,COM,384637104,50310,75845,SH,,SOLE,,72058,0,3787
Heartland Express Inc,COM,422347104,284,14499,SH,,SOLE,,12499,0,2000
Heineken NV Spons ADR,COM,423012301,1462,43246,SH,,SOLE,,43246,0,0
Herman Miller Inc,COM,600544100,10609,359370,SH,,SOLE,,321320,0,38050
Hormel Foods Corp,COM,440452100,5280,116900,SH,,SOLE,,100200,0,16700
I B M,COM,459200101,3126,16668,SH,,SOLE,,11675,0,4993
Lamar Advertising Cl A,COM,512815101,1072,20525,SH,,SOLE,,20525,0,0
Markel Corp,COM,570535104,11100,19127,SH,,SOLE,,17397,0,1730
Martin Marietta Materials,COM,573284106,193040,1931562,SH,,SOLE,,1821046,0,110516
Mastercard Inc Cl A,COM,57636q104,827729,990747,SH,,SOLE,,935090,0,55657
Mattel Inc,COM,577081102,315,6625,SH,,SOLE,,5125,0,1500
McCormick Inc,COM,579780206,3163,45900,SH,,SOLE,,39100,0,6800
McDonalds Corp,COM,580135101,384,3960,SH,,SOLE,,3835,0,125
Merck Inc,COM,58933Y105,227,4536,SH,,SOLE,,3736,0,800
Microsoft Corp,COM,594918104,2310,61744,SH,,SOLE,,60294,0,1450
Nestle SA-Spons ADR,COM,641069406,1066151,14520387,SH,,SOLE,,13712014,0,808373
Northern Trust Corp,COM,665859104,268,4334,SH,,SOLE,,4334,0,0
Oracle Corp,COM,68389x105,478,12500,SH,,SOLE,,12500,0,0
Pepsico Inc,COM,713448108,4829,58221,SH,,SOLE,,56787,0,1434
Pernod-Ricard SA-Unspon ADR,COM,714264207,1186,51985,SH,,SOLE,,51985,0,0
Philip Morris International In,COM,718172109,868783,9971107,SH,,SOLE,,9500138,0,470969
Phillips 66,COM,718546104,210,2720,SH,,SOLE,,2420,0,300
Pioneer Nat Res,COM,723787107,497,2700,SH,,SOLE,,2700,0,0
PNC Bank Corp,COM,693475105,1989,25644,SH,,SOLE,,23144,0,2500
Praxair Inc,COM,74005p104,3839,29525,SH,,SOLE,,28025,0,1500
Precision Castparts Corp,COM,740189105,3050,11325,SH,,SOLE,,11025,0,300
Procter & Gamble,COM,742718109,10092,123962,SH,,SOLE,,109442,0,14520
Progressive Corp Ohio,COM,743315103,458,16778,SH,,SOLE,,13500,0,3278
Royal Dutch Shell PLC ADR A,COM,780259206,5339,74915,SH,,SOLE,,62990,0,11925
SABMiller PLC Sponsored ADR,COM,78572m105,1338,26060,SH,,SOLE,,26060,0,0
Schlumberger LTD,COM,806857108,302,3350,SH,,SOLE,,3350,0,0
Scripps Networks Interactive C,COM,811065101,121049,1400871,SH,,SOLE,,1318032,0,82839
Susquehanna Bancshrs Inc,COM,869099101,224,17429,SH,,SOLE,,17429,0,0
Swiss Helvetia FD Inc,COM,870875101,782,56025,SH,,SOLE,,56025,0,0
Unilever NV ADR,COM,904784709,475061,11808636,SH,,SOLE,,11164099,0,644537
Visa Inc Cl A,COM,92826c839,24156,108477,SH,,SOLE,,94462,0,14015
Wal Mart Stores Inc,COM,931142103,1771,22509,SH,,SOLE,,19455,0,3054
Wells Fargo,COM,949746101,659879,14534770,SH,,SOLE,,13729288,0,805482
JP Morgan Chase & Co WTS Exp 1,WTS,46634e114,2923,150750,SH,,SOLE,,150750,0,0
M&T Bank Corp Wts Exp 12/23/1,WTS,55261f112,1290,30000,SH,,SOLE,,30000,0,0
Wells Fargo WTS Exp 10/28/18,WTS,949746119,2826,177750,SH,,SOLE,,177750,0,0
A P Moller-Maersk A/S,COM,k0514g135,1294,125,SH,,SOLE,,120,0,5
Anheuser-Busch InBev,COM,b6399c107,1597,15000,SH,,SOLE,,15000,0,0
Berner Gruppen,COM,r10549104,4801,116554,SH,,SOLE,,114714,0,1840
BIC,COM,f10080103,2489,20285,SH,,SOLE,,19985,0,300
British American Tobacco PLC,COM,g1510j102,254545,4746338,SH,,SOLE,,4541002,0,205336
Chicago Bridge & Iron Co NV,COM,167250109,1237,14875,SH,,SOLE,,12675,0,2200
Cir SPA,COM,t28980125,197,125000,SH,,SOLE,,125000,0,0
Compagnie Financiere Richemont,COM,h25662182,692543,6912947,SH,,SOLE,,6549296,0,363651
Diageo PLC,COM,g42089113,268078,8092869,SH,,SOLE,,7673688,0,419181
Groupe Danone,COM,f12033134,252,3500,SH,,SOLE,,3500,0,0
Hanjaya Mandala Sampoerna,COM,y7121z146,128,25000,SH,,SOLE,,25000,0,0
Heineken Holding NV,COM,n39338194,645174,10181924,SH,,SOLE,,9627851,0,554073
Heineken NV,COM,n39427211,3530,52191,SH,,SOLE,,47963,0,4228
JC Decaux SA ACT,COM,f5333n100,60374,1461955,SH,,SOLE,,1316860,0,145095
Lindt & Spruengli AG - Reg,COM,h49983176,1954,36,SH,,SOLE,,36,0,0
Loreal SA,COM,f58149133,999,5675,SH,,SOLE,,5495,0,180
Nestle SA-REG,COM,h57312649,2970,40310,SH,,SOLE,,40000,0,310
NHST Media Group,COM,r4700l117,1401,19772,SH,,SOLE,,19390,0,382
