gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup,gind,gsector,gsubind
1004,20000531,1999,INDL,C,D,STD,AIR,USD,A,2010,201010,20,20101010
1010,20001231,2000,INDL,C,D,STD,4165A,USD,I,2030,203040,20,20304010
1013,20001031,2000,INDL,C,D,STD,ADCT.1,USD,I,4520,452010,45,45201020
1019,20001231,2000,INDL,C,D,STD,AFAP,USD,I,2020,202010,20,20201030
1021,20000630,2000,INDL,C,D,STD,IWKS,USD,I,3510,351010,35,35101010
1034,20001231,2000,INDL,C,D,STD,ALO.2,USD,I,3520,352020,35,35202010
1036,20001231,2000,INDL,C,D,STD,UDI.,USD,I,2010,201060,20,20106020
1037,20000331,1999,INDL,C,D,STD,AMCM.,USD,I,4520,452010,45,45201020
1038,20000331,1999,INDL,C,D,STD,AEN.2,USD,I,2540,254010,25,25401030
1045,20001231,2000,INDL,C,D,STD,AAL,USD,A,2030,203020,20,20302010
1048,20001231,2000,INDL,C,D,STD,4267A,USD,I,1010,101020,10,10102040
1050,20001231,2000,INDL,C,D,STD,CECE,USD,A,2020,202010,20,20201050
1056,20000630,2000,INDL,C,D,STD,ARXX,USD,I,4520,452030,45,45203010
1062,20001130,2000,FS,C,D,STD,ASA,USD,A,4020,402030,40,40203010
1072,20000331,1999,INDL,C,D,STD,AVX,USD,I,4520,452030,45,45203015
1075,20001231,2000,INDL,C,D,STD,PNW,USD,A,5510,551010,55,55101010
1076,20001231,2000,INDL,C,D,STD,AAN,USD,A,2550,255040,25,25504060
1078,20001231,2000,INDL,C,D,STD,ABT,USD,A,3510,351010,35,35101010
1081,20001231,2000,INDL,C,D,STD,ABY.2,CAD,I,1510,151050,15,15105020
1082,20000430,1999,INDL,C,D,STD,SERV.1,USD,I,2020,202010,20,20201050
1084,20001231,2000,INDL,C,D,STD,WDDD,USD,A,5020,502030,50,50203010
1094,20000630,2000,INDL,C,D,STD,ACETQ,USD,A,3510,351020,35,35102010
1095,20001231,2000,INDL,C,D,STD,AK,USD,I,2540,254010,25,25401020
1096,20001231,2000,INDL,C,D,STD,MRCBF,CAD,A,6010,601020,60,60102010
1097,20001231,2000,INDL,C,D,STD,ACMTA,USD,A,4030,403010,40,40301040
1099,20000630,2000,INDL,C,D,STD,ACEE,USD,I,2010,201040,20,20104010
1104,20001231,2000,INDL,C,D,STD,ACU,USD,A,2020,202010,20,20201060
1107,20001231,2000,INDL,C,D,STD,2675B,USD,I,2550,255010,25,25501010
1109,20001231,2000,INDL,C,D,STD,AHIX,USD,I,2520,252020,25,25202010
1111,20000331,1999,INDL,C,D,STD,ATVI.1,USD,I,4510,451030,45,45103030
1115,20000930,2000,INDL,C,D,STD,ADAC.,USD,I,3510,351010,35,35101010
1117,20001231,2000,INDL,C,D,STD,BKTI,USD,A,4520,452010,45,45201020
1119,20001231,2000,INDL,C,D,STD,ADX,USD,A,,,,
1121,20001231,2000,INDL,C,D,STD,AE,USD,A,1010,101020,10,10102030
1148,20000930,2000,INDL,C,D,STD,ADV.2,USD,I,4020,402010,40,40201020
1154,20001231,2000,INDL,C,D,STD,AERS.,USD,I,2010,201060,20,20106020
1161,20001231,2000,INDL,C,D,STD,AMD,USD,A,4530,453010,45,45301020
1164,20001231,2000,INDL,C,D,STD,MCIP,USD,I,5010,501010,50,50101020
1165,20000930,2000,INDL,C,D,STD,BFTC,USD,I,2030,203050,20,20305010
1166,20001231,2000,INDL,C,D,STD,ASMIY,USD,A,4530,453010,45,45301010
1173,20000131,1999,INDL,C,D,STD,AIM.1,USD,I,2010,201010,20,20101010
1177,20001231,2000,FS,C,D,STD,AET,USD,I,3510,351020,35,35102030
1183,20000131,1999,INDL,C,D,STD,IDAI,USD,I,2540,254010,25,25401030
1186,20001231,2000,INDL,C,D,STD,AEM,USD,A,1510,151040,15,15104030
1193,20000630,2000,INDL,C,D,STD,1900B,USD,I,2550,255040,25,25504040
1209,20000930,2000,INDL,C,D,STD,APD,USD,A,1510,151010,15,15101040
1210,20000331,1999,INDL,C,D,STD,AIRT,USD,A,2030,203010,20,20301010
1213,20001231,2000,INDL,C,D,STD,ABF,USD,I,2030,203010,20,20301010
1224,20000930,2000,INDL,C,D,STD,EGN1,USD,A,5510,551020,55,55102010
1225,20001231,2000,INDL,C,D,STD,SO1,USD,A,5510,551010,55,55101010
1228,20000630,2000,INDL,C,D,STD,ALAN,USD,A,5510,551040,55,55104010
1230,20001231,2000,INDL,C,D,STD,ALK,USD,A,2030,203020,20,20302010
1234,20001231,2000,INDL,C,D,STD,ATRI,USD,A,3510,351010,35,35101020
1238,20001231,2000,INDL,C,D,STD,AOG.3,CAD,I,1010,101020,10,10102020
1239,20000930,2000,INDL,C,D,STD,ACV.1,USD,I,3030,303020,30,30302010
1240,20000131,1999,INDL,C,D,STD,ABS.1,USD,I,3010,301010,30,30101030
1243,20001231,2000,INDL,C,D,STD,AL.1,USD,I,1510,151040,15,15104010
1244,20000531,1999,INDL,C,D,STD,ALCD.,USD,I,3520,352020,35,35202010
1246,20000930,2000,INDL,C,D,STD,IKN,USD,I,2020,202010,20,20201060
1254,20001231,2000,INDL,C,D,STD,MATX,USD,A,2030,203030,20,20303010
1257,20001231,2000,INDL,C,D,STD,ALX,USD,A,6010,601010,60,60101070
1258,20001231,2000,INDL,C,D,STD,CGYNQ,USD,I,1010,101020,10,10102020
1259,20000731,2000,INDL,C,D,STD,ACEL.,USD,I,3520,352010,35,35201010
1262,20001231,2000,INDL,C,D,STD,AGMJF,CAD,A,2030,203030,20,20303010
1263,20001231,2000,INDL,C,D,STD,0065A,CAD,A,1510,151040,15,15104050
1266,20000831,2000,INDL,C,D,STD,ALCO,USD,A,3020,302020,30,30202010
1272,20000630,2000,INDL,C,D,STD,ATPT,USD,A,,,,
1274,20001231,2000,INDL,C,D,STD,Y,USD,A,4030,403010,40,40301050
1279,20001231,2000,INDL,C,D,STD,AYE,USD,I,5510,551010,55,55101010
1281,20001231,2000,INDL,C,D,STD,ALN.2,USD,I,4520,452010,45,45201020
1283,20001231,2000,INDL,C,D,STD,AORGB,USD,I,4520,452010,45,45201020
1300,20001231,2000,INDL,C,D,STD,HON,USD,A,2010,201050,20,20105010
1308,20001231,2000,INDL,C,D,STD,ALY,USD,I,1010,101010,10,10101020
1318,20001231,2000,INDL,C,D,STD,AT.2,USD,I,5010,501020,50,50102010
