Ticker,Date,Shares,Value,Shares_Change,Value_Change,Price,Class,Last_Price,New_Value
AAP,200609,7874612,259390000,-2166669.0,-30803000.0,32.94,,30.12,330759796.14
AAP,200612,3491501,124158000,-4383111.0,-135232000.0,35.56,,35.6,280021202.72
AAPL,200509,5619678,301271000,-624585.0,71420000.0,53.61,,46.89,334754939.43
AAPL,200512,2977426,214047000,-2642252.0,-87224000.0,71.89,,67.82,403998651.42
AAPL,200606,1921307,110033000,-3335278.0,-219660000.0,57.27,,59.77,301044622.95
AAPL,200612,2996695,254240000,-726591.0,-32379000.0,84.84,,91.66,315883584.24
AAPL,200703,2980182,276889000,-16513.0,22649000.0,92.91,,84.61,278422932.45
AAPL,200706,1555182,189794000,-1425000.0,-87095000.0,122.04,,121.191,363701411.28000003
AAPL,200709,1255882,192740000,-299300.0,2946000.0,153.47,,138.48,238673781.54
AAPL,200712,606618,120159000,-649264.0,-72581000.0,198.08,,182.22,248765106.56
AAPL,200912,2525541,532212000,-565777.0,-40764000.0,210.73199,,199.91,651439593.86282
AAPL,201003,2349597,552155000,-175944.0,19943000.0,235.0,,204.62,593502135.0
AAPL,201006,2251101,566219000,-98496.0,14064000.0,251.53,,256.88,590994133.41
AAPL,201012,1714626,553070000,-3699586.0,-983212000.0,322.56,,311.14999,1746408222.72
AAPL,201103,1555263,542022000,-159363.0,-11048000.0,348.50751,,353.20999,597560037.8412601
AAPL,201209,805269,537199000,-617940.0,-293955000.0,667.10498,,665.23999,949429811.48082
ACN,201003,1000000,41950000,-600000.0,-24450000.0,41.95,A,39.97,67120000.0
ACN,201006,9668219,373677000,-1811614.0,-107902000.0,38.65,A,37.52,443695545.45
ACN,201009,9240919,392647000,-427300.0,18970000.0,42.49,A,36.6,410802625.31
ACN,201012,4145967,201038000,-5094952.0,-191609000.0,48.49,A,43.32,448092162.31
ACN,201103,3421073,188056000,-724894.0,-12982000.0,54.97,A,51.48,227903805.99
ACN,201106,3325917,200952000,-95156.0,12896000.0,60.42,A,57.39,206701230.66
ADBE,201409,11467010,793402000,-422474.0,-66921000.0,69.19,,71.9,822633397.9599999
ADBE,201503,12045393,890636000,-133854.0,-884540621000.0,73.94,,79.1,900533523.18
ADBE,201506,9264439,750512000,-2780954.0,-140124000.0,81.01,,79.09,975797286.9300001
ADBE,201509,6209219,510522000,-3055220.0,-239990000.0,82.22,,78.57,761722174.58
ADBE,201512,4012185,376905000,-2197034.0,-133617000.0,93.94,,91.46,583294032.86
ADBE,201606,4998438,478800000,-74670.0,2942000.0,95.79,,99.47,485953015.32000005
ADBE,201609,4617977,501235000,-380461.0,22435000.0,108.54,,102.31,542530460.52
ADBE,201703,4814596,626523000,-213003.0,108932000.0,130.13,,118.34,654241457.87
ADBE,201706,3931896,556127000,-882700.0,-70396000.0,141.44,,141.86,680976458.24
ADBE,201803,5649328,1220707000,-141200.0,205975000.0,216.08,,209.13,1251217290.24
ADBE,201806,4456362,1086506000,-1192966.0,-134201000.0,243.81,,249.28,1377362659.68
ADBE,201812,5127799,1160113000,-296972.0,-304304000.0,226.24001,,250.89,1227300245.28771
ADBE,201903,4528199,1206720000,-599600.0,46607000.0,266.48999,,262.5,1366507104.23201
ADBE,201906,3743938,1103151000,-784261.0,-103569000.0,294.64999,,270.89999,1334233790.06801
ADBE,201909,3553638,981692000,-190300.0,-121459000.0,276.25,,284.51001,1034262872.5
ADBE,201912,2847297,939067000,-706341.0,-42625000.0,329.81,,309.53,1172025348.78
ADSK,201012,4318374,164962000,-13038712.0,-389944000.0,38.2,,35.29,663040685.2
ADSK,201103,1986061,87605000,-2332313.0,-77357000.0,44.11,,42.05,190483477.14
ADSK,201106,900000,34740000,-1086061.0,-52865000.0,38.6,,42.98,76661954.60000001
ADSK,201503,8103986,475218000,-6359350.0,-393449960.0,58.64,,64.24,848130023.04
ADSK,201506,6158948,308409000,-1945038.0,-166809000.0,50.075,,54.15,405807098.95000005
ADSK,201903,3440100,536036000,-396107.0,42661000.0,155.82001,,163.00999,597757813.10207
ADSK,201912,3288196,603252000,-1219603.0,-62550000.0,183.46001,,180.89999,827000849.61799
AEA,200509,2840000,37630000,-465000.0,-15250000.0,13.25,A,14.3,43791250.0
AH,201212,5333281,61653000,-4053852.0,-43107000.0,11.58,,11.93,108703000.14
ALB,201706,1158452,122263000,-814315.0,-86140000.0,105.54,,113.6,208205829.18
AMP,201012,5397351,310618000,-5160165.0,-189070000.0,57.55,,51.84,607585045.8
AMP,201103,2016271,123154000,-3381080.0,-187464000.0,61.08,,63.32,329670199.08
AMX,200512,22149689,648100000,-622700.0,48731000.0,29.26,L,28.72,666320102.14
AMX,200603,18144089,621616000,-4005600.0,-26484000.0,34.26,L,34.73,758848345.14
AMX,200606,13690789,455356000,-4453300.0,-166260000.0,33.26,L,32.66,603472400.14
AMX,200609,9310989,366574000,-4379800.0,-88782000.0,39.37,L,37.31,539006362.93
AMX,200612,9299189,420509000,-11800.0,53935000.0,45.22,L,44.47,421042922.58
AMX,200712,12998391,797971000,-436798.0,-61881000.0,61.39,L,61.66,824786252.71
AMX,200803,10214524,650563000,-2783867.0,-147408000.0,63.69,L,60.46,827867522.79
AMX,200806,1425325,751859000,-8789199.0,101296000.0,52.75,L,59.77,538816141.0
AMX,200903,18641417,504810000,-5365858.0,-239175000.0,27.08,L,25.48,650117007.0
AMX,200906,11784662,456302000,-6856755.0,-48508000.0,38.72,L,38.33,721795666.24
AMX,200909,5018369,219955000,-6766293.0,-236347000.0,43.83,L,45.15,516521735.46
AMZN,201009,1583510,248706000,-672582.0,2205000.0,157.06,,124.83,354341809.52
AMZN,201603,1986368,1179187000,-220884.0,-312673000.0,593.64001,,552.52002,1310313099.35252
AMZN,201606,1643868,1176385000,-342500.0,-2802000.0,715.62,,722.78998,1421484668.16
AMZN,201609,1292728,1082414000,-351140.0,-93971000.0,837.31,,769.15997,1376427115.08
AMZN,201803,577796,836267000,-192200.0,-64220000.0,1447.33997,,1512.44995,1114445987.54012
AMZN,201806,424704,721912000,-153092.0,-114355000.0,1699.80005,,1629.62,982137669.6898
AMZN,201809,348814,698674000,-75890.0,-23238000.0,2003.0,,2012.7099600000001,850682112.0
AMZN,201903,651661,1160445000,-90000.0,46492000.0,1780.75,,1639.82996,1320712825.75
AMZN,201906,466511,883399000,-185150.0,-277046000.0,1893.63,,1775.06995,1234004819.43
AMZN,201912,515504,952569000,-106475.0,-127131000.0,1847.83997,,1800.80005,1149317656.70063
ANET,201603,1871465,118089000,-304460.0,-51285000.0,63.1,,68.54,137300867.5
APH,201012,5055079,266807000,-5055079.0,-228389000.0,52.78,A,50.03,533614139.24
APH,201103,776198,42217000,-4278881.0,-224590000.0,54.39,A,57.48,274945746.81
APOL,200506,7521150,588304000,-520604.0,-7268000.0,78.22,A,78.43,629025997.88
ARCO,201109,824599,19122000,-175401.0,-1968000.0,23.19,A,27.57,23190000.0
ASR,200912,347986,18029000,-42814.0,1357000.0,51.81,B,48.71,20247348.0
ATVI,200903,6511264,68108000,-13750646.0,-106955000.0,10.46,,10.03,211939578.60000002
ATVI,201006,13128280,137716000,-108900.0,-21792000.0,10.49,,10.75,138858018.2
ATVI,201706,21535165,1239779000,-3265525.0,3217000.0,57.57,,58.58,1427775723.3
ATVI,201709,19839465,1279844000,-1695700.0,40065000.0,64.51,,65.56,1389233494.15
ATVI,201712,17134499,1084956000,-2704966.0,-194888000.0,63.32,,62.4,1256234923.8
ATVI,201803,14555953,981945000,-2578546.0,-103011000.0,67.46,,73.13,1155893302.54
ATVI,201806,14257637,1088143000,-298316.0,106198000.0,76.32,,70.91,1110910332.9599998
ATVI,201812,15671412,729818000,-467276.0,-612759000.0,46.57,,49.88,751578700.16
AVGO,201709,5090360,1234616000,-229231.0,-5115000.0,242.53999,,252.07001,1290213547.94409
AVGO,201712,2463016,632749000,-2627344.0,-601867000.0,256.89999,,277.94,1307713433.0964
AXP,201312,4392879,398566000,-1851640.0,-73020000.0,90.73,,85.8,566565208.87
AZO,201206,936470,343844000,-128030.0,-51937000.0,367.17001,,380.26001,390852475.645
AZO,201209,864249,319487000,-72221.0,-24357000.0,369.67001,,361.64001,346184874.2647
BABA,201709,8815009,1522440000,-2851789.0,-121412000.0,172.71001,,171.74001,2014972799.24798
BABA,201712,6347975,1094581000,-2467034.0,-427859000.0,172.42999,,177.08,1519971913.7199101
BABA,201803,5982159,1097965000,-365816.0,3384000.0,183.53999,,186.14,1165107268.0202498
