Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
Alibaba Group Holding Ltd,BABA,SPONSORED ADS,6239786,-1052776,1323459000,103924000,7.02,,Hist,12/31/2019
UNITEDHEALTH GROUP INC,UNH,Common,4243054,-285800,1247373000,263162000,6.61,0.45,Hist,12/31/2019
AMAZON COM INC,AMZN,Common,515504,-106475,952569000,-127131000,5.05,0.10,Hist,12/31/2019
ADOBE SYSTEMS INC,ADBE,Common,2847297,-706341,939067000,-42625000,4.98,0.59,Hist,12/31/2019
NETFLIX INC,NFLX,Common,2493127,138089,806701000,176446000,4.28,0.57,Hist,12/31/2019
MICROSOFT CORP,MSFT,Common,5069049,-990500,799389000,-43070000,4.24,0.07,Hist,12/31/2019
SHOPIFY INC.,SHOP,Common,1812652,435481,720674000,291465000,3.82,,Hist,12/31/2019
Mastercard Inc,MA,CL A,2386096,778839,712464000,275981000,3.78,,Hist,12/31/2019
Facebook Inc,FB,Common,3425898,1477510,703166000,356197000,3.73,,Hist,12/31/2019
TransDigm Group INC,TDG,Common,1254428,-29630,702480000,33910000,3.72,2.35,Hist,12/31/2019
SALESFORCE COM INC,CRM,Common,4140694,-964066,673442000,-84309000,3.57,0.47,Hist,12/31/2019
AUTODESK INC,ADSK,Common,3288196,-1219603,603252000,-62550000,3.20,1.49,Hist,12/31/2019
GLOBAL PAYMENTS INC,GPN,Common,3245218,-410162,592447000,11242000,3.14,1.08,Hist,12/31/2019
UNION PACIFIC CORP,UNP,Common,3230202,660423,583988000,167735000,3.10,0.47,Hist,12/31/2019
MERCADOLIBRE INC,MELI,Common,970749,390332,555210000,235267000,2.94,1.95,Hist,12/31/2019
"Square, Inc.",SQ,Common,8798626,788499,550442000,54215000,2.92,,Hist,12/31/2019
HUMANA INC,HUM,Common,1472775,-115968,539801000,133607000,2.86,1.11,Hist,12/31/2019
DOMINOS PIZZA INC,DPZ,Common,1731133,-446609,508572253,-24081747,,,Hist,12/31/2019
EQUIFAX INC,EFX,Common,3448313,379566,483178000,51497000,2.56,2.85,Hist,12/31/2019
CANADIAN PACIFIC RAILWAY LTD/CN,CP,Common,1870085,0,476778000,60759000,2.53,1.36,Hist,12/31/2019
"Quintiles IMS Holdings, Inc.",IQV,COM,3082174,-467035,476227000,-53954000,2.52,1.59,Hist,12/31/2019
"ServiceNow, Inc.",NOW,COM,1542489,-155336,435475000,4482000,2.31,0.82,Hist,12/31/2019
"PayPal Holdings, Inc.",PYPL,COM,3364320,3364320,363918000,363918000,1.93,0.29,Hist,12/31/2019
Coupa Software Inc,COUP,COM,2336812,940696,341759000,160864000,1.81,3.66,Hist,12/31/2019
Atlassian Corp Plc,TEAM,Common,2799760,718248,336923000,75818000,1.79,,Hist,12/31/2019
MATECH Corp.,MTCH,COM,3037131,3037131,249379000,249379000,1.32,,Hist,12/31/2019
Sea Ltd,SE,SPONSORED ADS,6165422,-696800,247973000,35587000,1.31,,Hist,12/31/2019
Luckin Coffee Inc.,LK,SPONSORED ADS,6067357,6067357,238811000,238811000,1.27,,Hist,12/31/2019
DEXCOM INC,DXCM,COM,1058895,1058895,231623000,231623000,1.23,1.16,Hist,12/31/2019
"Under Armour, Inc.",UAA,Cl A,8979557,8979557,193958000,193958000,1.03,,Hist,12/31/2019
HERBALIFE LTD.,HLF,Common,3892688,1791049,185564000,105996000,0.98,2.64,Hist,12/31/2019
"ALTRIA GROUP, INC.",MO,Common,3536654,3536654,176514000,176514000,0.94,0.19,Hist,12/31/2019
ILLUMINA INC,ILMN,Common,519808,519808,172441000,172441000,0.91,0.35,Hist,12/31/2019
"Chewy, Inc.",CHWY,Common,5071531,0,147074000,22416000,0.78,,Hist,12/31/2019
UNION PACIFIC CORP,UNP,Call,565300,565300,102201000,102201000,0.54,,Hist,12/31/2019
IAC/INTERACTIVECORP,IAC,COM PAR $.001,397739,397739,99081000,99081000,0.53,0.47,Hist,12/31/2019
CSX CORP,CSX,CALL,1348000,1348000,97541000,97541000,0.52,,Hist,12/31/2019
CARVANA CO.,CVNA,Common,1002910,1002910,92318000,92318000,0.49,,Hist,12/31/2019
"Uber Technologies, Inc",UBER,Common Stock,3084950,83530,91746000,6936000,0.49,0.18,Hist,12/31/2019
XP Inc.,,Common,1200000,1200000,46224000,46224000,0.25,,Hist,12/31/2019
HUBSPOT INC,HUBS,Common,225647,225647,35765000,35765000,0.19,0.53,Hist,12/31/2019
"Medallia, Inc.",MDLA,COM,737593,0,22947000,2715000,0.12,0.57,Hist,12/31/2019
CSX CORP,CSX,Common,12000,12000,868000,868000,0.00,,Hist,12/31/2019
TWILIO INC,TWLO,CL A,0,-15835,0,-1741000,0.00,0.00,Hist,12/31/2019
Booking Holdings Inc.,BKNG,COMMON STOCK,0,-211257,0,-414615000,0.00,0.00,Hist,12/31/2019
SMARTSHEET INC,SMAR,Common,0,-506100,0,-18235000,0.00,0.00,Hist,12/31/2019
S&P Global Inc.,SPGI,COM,0,-1724511,0,-422471000,0.00,0.00,Hist,12/31/2019
HORTON D R INC /DE/,DHI,Common,0,-3333812,0,-175725000,0.00,0.00,Hist,12/31/2019
WORLD WRESTLING ENTERTAINMENTINC,WWE,CLA,0,-2959183,0,-210546000,0.00,0.00,Hist,12/31/2019
TIFFANY & CO,TIF,Common,0,-6381880,0,-591154000,0.00,0.00,Hist,12/31/2019
"Activision Blizzard, Inc.",ATVI,STOCK,0,-11244387,0,-595053000,0.00,0.00,Hist,12/31/2019
Alibaba Group Holding Ltd,BABA,SPONSORED ADS,7292562,1416900,1219535000,223904000,7.17,,Hist,09/30/2019
AMAZON COM INC,AMZN,Common,621979,155468,1079700000,196301000,6.35,0.13,Hist,09/30/2019
UNITEDHEALTH GROUP INC,UNH,Common,4528854,756600,984211000,63743000,5.79,0.48,Hist,09/30/2019
ADOBE SYSTEMS INC,ADBE,Common,3553638,-190300,981692000,-121459000,5.78,0.73,Hist,09/30/2019
MICROSOFT CORP,MSFT,Common,6059549,-1324962,842459000,-146770000,4.96,0.08,Hist,09/30/2019
SALESFORCE COM INC,CRM,Common,5104760,2163027,757751000,311402000,4.46,0.58,Hist,09/30/2019
TransDigm Group INC,TDG,Common,1284058,-301446,668570000,-98497000,3.93,2.41,Hist,09/30/2019
AUTODESK INC,ADSK,Common,4507799,517907,665802000,15849000,3.92,2.05,Hist,09/30/2019
NETFLIX INC,NFLX,Common,2355038,2355038,630255000,630255000,3.71,0.54,Hist,09/30/2019
"Activision Blizzard, Inc.",ATVI,STOCK,11244387,919853,595053000,107735000,3.50,1.47,Hist,09/30/2019
TIFFANY & CO,TIF,Common,6381880,-188122,591154000,-24061000,3.48,5.28,Hist,09/30/2019
GLOBAL PAYMENTS INC,GPN,Common,3655380,3655380,581205000,581205000,3.42,2.33,Hist,09/30/2019
DOMINOS PIZZA INC,DPZ,Common,2177742,930487,532654000,185568000,3.13,5.28,Hist,09/30/2019
"Quintiles IMS Holdings, Inc.",IQV,COM,3549209,-2636698,530181000,-465131000,3.12,1.81,Hist,09/30/2019
"Square, Inc.",SQ,Common,8010127,4695296,496227000,255802000,2.92,,Hist,09/30/2019
Mastercard Inc,MA,CL A,1607257,-63700,436483000,-5535000,2.57,,Hist,09/30/2019
EQUIFAX INC,EFX,Common,3068747,3068747,431681000,431681000,2.54,2.54,Hist,09/30/2019
"ServiceNow, Inc.",NOW,COM,1697825,386300,430993000,70888000,2.54,0.90,Hist,09/30/2019
SHOPIFY INC.,SHOP,Common,1377171,-125600,429209000,-21848000,2.53,,Hist,09/30/2019
S&P Global Inc.,SPGI,COM,1724511,-206000,422471000,-17280000,2.49,0.70,Hist,09/30/2019
UNION PACIFIC CORP,UNP,Common,2569779,-2361120,416253000,-417611000,2.45,0.36,Hist,09/30/2019
CANADIAN PACIFIC RAILWAY LTD/CN,CP,Common,1870085,-835921,416019000,-220542000,2.45,1.35,Hist,09/30/2019
Booking Holdings Inc.,BKNG,COMMON STOCK,211257,-110139,414615000,-187909000,2.44,0.50,Hist,09/30/2019
HUMANA INC,HUM,Common,1588743,1588743,406194000,406194000,2.39,1.20,Hist,09/30/2019
Facebook Inc,FB,Common,1948388,-1053748,346969000,-232443000,2.04,,Hist,09/30/2019
MERCADOLIBRE INC,MELI,Common,580417,104044,319943000,28512000,1.88,1.17,Hist,09/30/2019
Atlassian Corp Plc,TEAM,Common,2081512,2043612,261105000,256146000,1.54,,Hist,09/30/2019
Sea Ltd,SE,SPONSORED ADS,6862222,728100,212386000,8610000,1.25,,Hist,09/30/2019
WORLD WRESTLING ENTERTAINMENTINC,WWE,CLA,2959183,266875,210546000,16134000,1.24,,Hist,09/30/2019
Coupa Software Inc,COUP,COM,1396116,743292,180895000,98241000,1.06,2.22,Hist,09/30/2019
HORTON D R INC /DE/,DHI,Common,3333812,-9096601,175725000,-360399000,1.03,0.90,Hist,09/30/2019
"Chewy, Inc.",CHWY,Common,5071531,1778608,124658000,9406000,0.73,,Hist,09/30/2019
"Uber Technologies, Inc",UBER,Common Stock,3001420,0,84810000,-40389000,0.50,0.18,Hist,09/30/2019
HERBALIFE LTD.,HLF,Common,2101639,2101639,79568000,79568000,0.47,1.39,Hist,09/30/2019
"Medallia, Inc.",MDLA,COM,737593,737593,20232000,20232000,0.12,0.58,Hist,09/30/2019
