Ticker,Date,Shares,Value,Shares_Change,Value_Change,Price,Class,Last_Price,New_Value
AAP,200509,6381747,246846000,4045976.0,96072000.0,38.68,,60.93,246845973.96
AAP,200512,6946447,301893000,564700.0,55047000.0,43.46,,42.34,301892586.62
AAP,200603,7852381,326973000,905934.0,25080000.0,41.64,,41.35,326973144.84000003
AAP,200606,10041281,290193000,2188900.0,-36780000.0,28.9,,38.12,290193020.9
AAP,201709,2358917,234005000,310065.0,-4871000.0,99.2,,97.9,234004566.4
AAPL,200503,5547415,231161000,3970515.0,129609000.0,41.67,,44.86,231160783.05
AAPL,200506,6244263,229851000,696848.0,-1310000.0,36.81,,39.7593,229851321.03
AAPL,200603,5256585,329693000,2279159.0,115646000.0,62.72,,68.49,329693011.2
AAPL,200609,3723286,286619000,1801979.0,176586000.0,76.98,,67.85,286618556.28000003
AAPL,200803,2920623,419109000,2314005.0,298950000.0,143.5,,125.02,419109400.5
AAPL,201009,5414212,1536282000,3163111.0,970063000.0,283.75,,243.10001,1536282655.0
AAPL,201106,1977263,663708000,422000.0,121686000.0,335.67001,,347.82999,663707890.98263
AAPL,201109,2059427,785301000,82164.0,121593000.0,381.32001,,384.82999,785300724.2342701
AAPL,201206,1423209,831154000,164265.0,76354000.0,584.0,,577.72998,831154056.0
AAPL,201503,6838522,850917000,4654400.0,-240232469000.0,124.43,,128.46001,850917292.46
ACN,201003,11479833,481579000,2771596.0,120187000.0,41.95,A,39.97,481578994.35
ADBE,201406,11889484,860323000,5289150.0,426417000.0,72.36,,64.54,860323062.24
ADBE,201412,12179247,885431257000,712237.0,884637855000.0,72.7,,73.68,885431256.9
ADBE,201603,5073108,475858000,1060923.0,98953000.0,93.8,,85.15,475857530.4
ADBE,201612,5027599,517591000,409622.0,16356000.0,102.95,,102.81,517591317.05
ADBE,201712,5790528,1014732000,1858632.0,428172000.0,175.24001,,181.47,1014732184.62528
ADBE,201809,5424771,1464417000,968409.0,377911000.0,269.95001,,263.51001,1464416985.69771
ADSK,201003,5122913,150511000,2792502.0,91295000.0,29.38,,27.88,150511183.94
ADSK,201006,8678543,211409000,3555630.0,60898000.0,24.36,,29.26,211409307.48
ADSK,201009,17357086,554906000,8678543.0,343497000.0,31.97,,27.73,554906039.42
ADSK,201412,14463336,868667960,10061891.0,626147960.0,60.06,,62.0,868667960.1600001
ADSK,201906,3989892,649953000,549792.0,113917000.0,162.89999,,160.91,649953366.90108
ADSK,201909,4507799,665802000,517907.0,15849000.0,147.7,,142.82001,665801912.3
AEA,200506,3305000,52880000,278000.0,6022000.0,16.0,A,12.21,52880000.0
AEO,200712,8546293,177507000,6390726.0,120794000.0,20.77,,22.89,177506505.60999998
AFFY,200703,733650,23624000,569833.0,18048000.0,32.2,,35.61,23623530.000000004
AGN,201509,2607655,708787000,309689.0,11446000.0,271.81,,303.73999,708786705.55
AH,200506,1012900,40121000,128100.0,7304000.0,39.61,,37.75,40120969.0
AH,201106,2966088,85394000,1430310.0,42761000.0,28.79,,24.34,85393673.52
AH,201109,7841405,166473000,4875317.0,81079000.0,21.23,,26.84,166473028.15
AH,201206,9387133,102883000,524641.0,-74101000.0,10.96,,11.76,102882977.68
AIG,201303,7343600,285079000,350000.0,38205000.0,38.82,,38.01,285078552.0
ALGN,201612,2476534,238069000,39614.0,9608000.0,96.13,,93.05,238069213.42
AMP,201006,4398808,158929000,127876.0,-34800000.0,36.13,,39.79,158928933.04000002
AMP,201009,10557516,499688000,6158708.0,340759000.0,47.33,,43.58,499687232.28
AMP,201109,2351418,92552000,335147.0,-23747000.0,39.36,,45.7,92551812.48
AMX,200503,6034163,311363000,1481563.0,73034000.0,51.6,L,58.7,311362810.8
AMX,200506,7369063,439270000,1334900.0,127907000.0,59.61,L,56.68,439269845.43
AMX,200509,22772389,599369000,15403326.0,160099000.0,26.32,L,22.0,599369278.48
AMX,200703,11877289,567616000,2578100.0,147107000.0,47.79,L,43.77,567615641.31
AMX,200706,12211689,756270000,334400.0,188654000.0,61.93,L,60.55,756269899.77
AMX,200709,13435189,859852000,1223500.0,103582000.0,64.0,L,60.46,859852096.0
AMX,200809,18014280,835142000,16588955.0,83283000.0,46.36,L,51.38,835142020.8
