Ticker,Date,Shares,Value,Shares_Change,Value_Change,Price,Class,Last_Price,New_Value
A,201712,3607622,241602000,3607622.0,241602000.0,66.97,,69.24,241602445.34
AAL,201406,2684674,115334000,2684674.0,115334000.0,42.96,,40.16,115333595.04
AAP,200506,2335771,150774000,2335771.0,150774000.0,64.55,,59.27,150774018.04999998
AAP,201506,1217455,193928000,1217455.0,193928000.0,159.28999,,153.22,193928394.77545
AAP,201706,2048852,238876000,2048852.0,238876000.0,116.59,,133.63,238875654.68
AAPL,200412,1576900,101552000,1576900.0,101552000.0,64.4,,67.05,101552360.00000001
AAPL,200909,3091318,572976000,3091318.0,572976000.0,185.35001,,168.21001,572975822.21318
AAPL,201203,1258944,754800000,1258944.0,754800000.0,599.5499900000001,,542.44,754799862.61056
AAPL,201412,2184122,241083386000,2184122.0,241083386000.0,110.38,,118.93,241083386.35999998
ABBV,201409,5247201,303078000,5247201.0,303078000.0,57.76,,55.28,303078329.76
ACN,200912,1600000,66400000,1600000.0,66400000.0,41.5,A,41.04,66400000.0
ACN,200912,8708237,361392000,8708237.0,361392000.0,41.5,A,41.04,361391835.5
ADBE,201403,6600334,433906000,6600334.0,433906000.0,65.74,,68.63,433905957.15999997
ADSK,200912,2330411,59216000,2330411.0,59216000.0,25.41,,23.45,59215743.51
ADSK,201409,4401445,242520000,4401445.0,242520000.0,55.1,,53.64,242519619.5
ADSK,201512,5732050,349253807,5732050.0,349253807.0,60.93,,63.47,349253806.5
ADSK,201812,3836207,493375000,3836207.0,493375000.0,128.61,,144.5,493374582.27000004
AEA,200503,3027000,46858000,3027000.0,46858000.0,15.48,A,20.33,46857960.0
AEO,200709,2155567,56713000,2155567.0,56713000.0,26.31,,25.83,56712967.769999996
AFFY,200612,163817,5576000,163817.0,5576000.0,34.04,,,5576330.68
AGN,201506,2297966,697341000,2297966.0,697341000.0,303.45999,,232.74001,697340739.38034
AGN,201603,1789239,479570000,1789239.0,479570000.0,268.03,,290.10999,479569729.16999996
AH,200503,884800,32817000,884800.0,32817000.0,37.09,,39.92,32817232.000000004
AH,201103,1535778,42633000,1535778.0,42633000.0,27.76,,20.33,42633197.28
AH,201203,8862492,176984000,8862492.0,176984000.0,19.97,,25.99,176983965.23999998
AIG,201212,6993600,246874000,6993600.0,246874000.0,35.3,,33.13,246874079.99999997
ALB,201703,1972767,208403000,1972767.0,208403000.0,105.64,,101.51,208403105.88
ALGN,201609,2436920,228461000,2436920.0,228461000.0,93.75,,92.9,228461250.0
AMP,201003,4270932,193729000,4270932.0,193729000.0,45.36,,40.03,193729475.52
AMT,201106,3413095,178607000,3413095.0,178607000.0,52.33,A,55.48,178607261.35
AMTD,201006,8343305,127653000,8343305.0,127653000.0,15.3,,17.73,127652566.5
AMX,200412,4552600,238329000,4552600.0,238329000.0,52.35,L,46.71,238328610.0
AMZN,200806,2527634,185351000,2527634.0,185351000.0,73.33,,81.62,185351401.22
AMZN,201003,1125899,152863000,1125899.0,152863000.0,135.77,,118.4,152863307.23000002
AMZN,201309,773737,241901000,773737.0,241901000.0,312.64001,,280.98001,241901143.41737002
AMZN,201509,1937002,991532000,1937002.0,991532000.0,511.89000999999996,,512.89001,991531973.1500199
AMZN,201712,769996,900487000,769996.0,900487000.0,1169.4699699999999,,1176.75,900487199.0201199
AN,201403,3991755,212481000,3991755.0,212481000.0,53.23,,52.64,212481118.64999998
ANET,201406,529120,33012000,529120.0,33012000.0,62.39,,,33011796.8
ANET,201703,1267936,167710000,1267936.0,167710000.0,132.27,,118.99,167709894.72
ANF,200812,3364819,77626000,3364819.0,77626000.0,23.07,A,19.33,77626374.33
APH,201003,4238797,178835000,4238797.0,178835000.0,42.19,A,41.65,178834845.42999998
APOL,200412,6117135,493714000,6117135.0,493714000.0,80.71,A,79.7,493713965.84999996
APOL,200903,1888980,147964000,1888980.0,147964000.0,78.33,A,72.5,147963803.4
APOL,201003,267626,16403000,267626.0,16403000.0,61.29,A,59.88,16402797.54
ARBA,201203,1554231,50839000,1554231.0,50839000.0,32.71,,31.47,50838896.01
ARCO,201106,1000000,21090000,1000000.0,21090000.0,21.09,A,22.75,21090000.0
ARG,201306,902488,86152000,902488.0,86152000.0,95.46,,102.89,86151504.47999999
ARRY,200612,516390,6672000,516390.0,6672000.0,12.92,,13.18,6671758.8
ASML,201306,1032466,81678000,1032466.0,81678000.0,79.11,,81.27,81678385.26
ASR,200906,365200,14243000,365200.0,14243000.0,39.0,B,34.77,14242800.0
ATVI,200812,20261910,175063000,20261910.0,175063000.0,8.64,,11.7,175062902.4
ATVI,201003,13237180,159508000,13237180.0,159508000.0,12.05,,10.63,159508019.0
ATVI,201509,9293749,287084000,9293749.0,287084000.0,30.89,,28.63,287083906.61
ATVI,201606,10293113,407916000,10293113.0,407916000.0,39.63,,39.26,407916068.19
ATVI,201906,10324534,487318000,10324534.0,487318000.0,47.2,,43.37,487318004.8
AVGO,201609,2606593,449689000,2606593.0,449689000.0,172.52,,176.42,449689424.36
AXP,201306,3719848,278096000,3719848.0,278096000.0,74.76,,75.71,278095836.48
AXP,201509,1000,74000,1000.0,74000.0,74.13,,76.72,74130.0
AZO,201203,1064500,395781000,1064500.0,395781000.0,371.79999,,374.48001,395781089.35499996
BABA,201609,5151461,544973000,5151461.0,544973000.0,105.79,,97.19,544973059.19
BAC,200912,2400000,35808000,2400000.0,35808000.0,15.06,,15.85,36144000.0
BAC,200912,14519200,218659000,14519200.0,218659000.0,15.06,,15.85,218659152.0
BAC,201612,21671362,478937000,21671362.0,478937000.0,22.1,,21.12,478937100.20000005
BAM,200512,3337300,168221000,3337300.0,168221000.0,50.33,A,47.78,167966309.0
BAX,200706,573000,32283000,573000.0,32283000.0,56.34,,56.84,32282820.000000004
BAX,200912,10441630,612715000,10441630.0,612715000.0,58.68,,54.55,612714848.4
BBBY,200412,3714285,147940000,3714285.0,147940000.0,39.83,,39.928,147939971.54999998
BBBY,200609,3586238,137209000,3586238.0,137209000.0,38.26,,33.73,137209465.88
BBBY,201106,4168447,243312000,4168447.0,243312000.0,58.37,,53.89,243312251.39
BBY,200412,2476000,147124000,2476000.0,147124000.0,59.42,,56.38,147123920.0
BEAV,201203,4259738,197950000,4259738.0,197950000.0,46.47,,45.84,197950024.85999998
BIDU,200609,1224839,107222000,1224839.0,107222000.0,87.54,A,77.71,107222406.06
BIDU,201112,2397810,279273000,2397810.0,279273000.0,116.47,A,130.99001,279272930.7
BIDU,201309,5289262,820788000,5289262.0,820788000.0,155.17999,A,135.53,820787624.26738
BIIB,200503,962500,33216000,962500.0,33216000.0,34.51,,38.65,33215874.999999996
BKNG,201803,507847,1056520000,507847.0,1056520000.0,2080.38989,,2034.0400399999999,1056519764.46683
BKNG,201812,353496,608869000,353496.0,608869000.0,1722.4200399999997,,1891.88,608868594.4598399
BLK,201712,1103870,567069000,1103870.0,567069000.0,513.71002,,501.19,567069079.7774
BNI,200709,3541004,287423000,3541004.0,287423000.0,81.17,,81.15,287423294.68
BPOP,200909,10301242,29153000,10301242.0,29153000.0,2.83,,2.15,29152514.86
BRCM,200606,4890087,148316000,4890087.0,148316000.0,30.33,,33.79,148316338.70999998
BRO,200412,2514000,109485000,2514000.0,109485000.0,43.55,,40.55,109484700.0
BSBR,201203,12519785,114806000,12519785.0,114806000.0,9.17,,10.68,114806428.45
BSC,200412,870100,89020000,870100.0,89020000.0,102.31,,97.58,89019931.0
BUD,201206,704561,56118000,704561.0,56118000.0,79.65,,67.7,56118283.650000006
BUD,201512,1487392,185924000,1487392.0,185924000.0,125.0,,128.46001,185924000.0
BUD,201709,715551,85365000,715551.0,85365000.0,119.3,,118.37,85365234.3
BXLT,201603,10591296,427888000,10591296.0,427888000.0,40.4,,38.52,427888358.4
C,201012,145143134,686527000,145143134.0,686527000.0,4.73,,4.2,686527023.82
CAREMARK RX INC,200412,5522226,217741000,5522226.0,217741000.0,39.42993278435182,,,217741000.0
CBG,200509,2335100,114887000,2335100.0,114887000.0,49.2,A,48.76,114886920.0
CBG,200803,11841207,256244000,11841207.0,256244000.0,21.64,A,20.06,256243719.48000002
CCI,200809,7399788,214372000,7399788.0,214372000.0,28.97,,37.4,214371858.35999998
CCI,201006,10957451,408275000,10957451.0,408275000.0,37.26,,37.03,408274624.26
CCI,201203,8237127,439368000,8237127.0,439368000.0,53.34,,51.81,439368354.18
CCI,201306,5052143,365725000,5052143.0,365725000.0,72.39,,71.25,365724631.77
CCL,200503,1764700,91429000,1764700.0,91429000.0,51.81,,54.38,91429107.0
CCL,200812,7923647,192703000,7923647.0,192703000.0,24.32,,21.0,192703095.04
CCMM,201209,327422,24576000,327422.0,24576000.0,75.05909804472516,,,24576000.0
CCMM,201409,3105814,470127000,3105814.0,470127000.0,151.3699790135533,,136.75959650212323,470127000.0
CDK,201412,2894255,117969834000,2894255.0,117969834000.0,40.76,,38.07,117969833.8
CECO,200412,1596157,63846000,1596157.0,63846000.0,40.0,,38.9,63846280.0
CECO,201006,2816186,64829000,2816186.0,64829000.0,23.02,,28.0,64828601.72
CFX,201209,2171191,79618000,2171191.0,79618000.0,36.67,,32.89,79617573.97
CHK,200412,6288500,103760000,6288500.0,103760000.0,16.5,,18.0,103760250.0
CHTR,201606,4792408,1095736000,4792408.0,1095736000.0,228.64,A,218.94,1095736165.12
CHTR,201709,700000,254394000,700000.0,254394000.0,363.42001,A,398.54001,254394007.0
CHWY,201906,3292923,115252000,3292923.0,115252000.0,35.0,A,,115252305.0
CIG,200603,1583700,72011000,1583700.0,72011000.0,45.47010166066806,,,72011000.0
CIG,200606,1625700,69271000,1625700.0,69271000.0,42.609952635787664,,45.47010166066806,69271000.0
CISG,200912,888118,17833000,888118.0,17833000.0,20.08,,21.01,17833409.439999998
CISG,201003,888118,23633000,888118.0,23633000.0,26.61,,22.14,23632819.98
CISG,201006,888118,23038000,888118.0,23038000.0,25.94,,25.02,23037780.92
CL,200503,1274000,66465000,1274000.0,66465000.0,52.17,,52.92,66464580.0
CL,201009,5416358,416302000,5416358.0,416302000.0,76.86,,73.84,416301275.88
CMCSA,201406,12151289,652281000,12151289.0,652281000.0,53.68,A,52.2,652281193.52
CMCSA,201703,13740082,516490000,13740082.0,516490000.0,37.59,A,37.42,516489682.38000005
CMCSK,200606,7050455,231114000,7050455.0,231114000.0,32.78,,32.0,231113914.9
CME,200709,450430,264560000,450430.0,264560000.0,587.34998,A,554.7999900000001,264560051.49139997
CME,201303,3541560,217487000,3541560.0,217487000.0,61.41,A,59.67,217487199.6
CME GROUP INC.,200506,147300,43527000,147300.0,43527000.0,295.4989816700611,,,43527000.0
CME GROUP INC.,200603,178500,79879000,178500.0,79879000.0,447.5014005602241,,337.2992015030531,79879000.0
CME GROUP INC.,200706,281421,150380000,281421.0,150380000.0,534.3595538357123,,478.24811650253395,150380000.0
CNET,200509,3013816,40897000,3013816.0,40897000.0,13.57,,13.33,40897483.12
COF,201212,4433450,256830000,4433450.0,256830000.0,57.93,,57.6,256829758.5
COH,200412,1214000,68470000,1214000.0,68470000.0,56.4,,49.84,68469600.0
COH,200812,6172333,128199000,6172333.0,128199000.0,20.77,,17.9,128199356.41
COH,201306,5858347,334453000,5858347.0,334453000.0,57.09,,58.26,334453030.23
COMM,201603,852986,23815000,852986.0,23815000.0,27.92,,25.19,23815369.12
CONR,200506,353387,5424000,353387.0,5424000.0,15.35,,14.98,5424490.45
COO,201206,2017657,160928000,2017657.0,160928000.0,79.76,,85.18,160928322.32000002
COO,201412,1750283,283703371000,1750283.0,283703371000.0,162.09,,168.89999,283703371.47
COUP,201906,652824,82654000,652824.0,82654000.0,126.61,,109.21,82654046.64
CP,201212,356494,36227000,356494.0,36227000.0,101.62,,93.34,36226920.28
CP,201406,3509269,635669000,3509269.0,635669000.0,181.14,,167.52,635668986.66
CP,201806,2861578,523726000,2861578.0,523726000.0,183.02,,192.78999,523726005.56
CPRT,200603,1250520,34327000,1250520.0,34327000.0,27.45,,25.84,34326774.0
CRM,201003,1910367,142227000,1910367.0,142227000.0,74.45,,67.95,142226823.15
CRM,201706,2648428,229354000,2648428.0,229354000.0,86.6,,89.64,229353864.79999998
CRM,201812,658000,90126000,658000.0,90126000.0,136.97,,142.75999,90126260.0
CSCO,200603,9088900,196956000,9088900.0,196956000.0,21.67,,20.24,196956463.00000003
CSGP,200509,562198,26266000,562198.0,26266000.0,46.72,,46.76,26265890.56
CSX,201506,2088300,68183000,2088300.0,68183000.0,32.65,,34.08,68182995.0
CSX,201703,14378423,669316000,14378423.0,669316000.0,46.55,,48.56,669315590.65
CSX,201712,11383382,626200000,11383382.0,626200000.0,55.01,,55.75,626199843.8199999
CSX,201912,12000,868000,12000.0,868000.0,72.36,,71.54,868320.0
CTRP,200612,993808,61984000,993808.0,61984000.0,62.37,,55.52,61983804.96
CTRP,200903,3547917,97213000,3547917.0,97213000.0,27.4,,20.0,97212925.8
CTRP,201012,4312650,174447000,4312650.0,174447000.0,40.45,,43.778,174446692.5
CTRP,201203,5240339,113401000,5240339.0,113401000.0,21.64,,27.38,113400935.96000001
CTRP,201403,1158913,58432000,1158913.0,58432000.0,50.42,,54.01,58432393.46
CTSH,200606,619846,41759000,619846.0,41759000.0,67.37,A,59.0,41759025.02
CTSH,201003,10899834,555674000,10899834.0,555674000.0,50.98,A,48.13,555673537.3199999
CTSH,201203,5810687,447132000,5810687.0,447132000.0,76.95,A,70.95,447132364.65000004
CTX,200503,3539500,202707000,3539500.0,202707000.0,57.27,,63.59,202707165.0
CTXS,200909,1324364,51955000,1324364.0,51955000.0,39.23,,35.66,51954799.72
CTXS,200912,1017000,42317000,1017000.0,42317000.0,41.61,,38.18,42317370.0
CTXS,201103,2314910,170053000,2314910.0,170053000.0,73.46,,70.16,170053288.6
CVC,201012,5125672,173453000,5125672.0,173453000.0,33.84,A,31.67,173452740.48000002
