Ticker,Date,Shares,Value,Shares_Change,Value_Change,Price,Class,Last_Price,New_Value
A,201801,3607622,241602000,0,0,73.43,,66.97,264907683.46000004
A,201802,3607622,241602000,0,0,68.59,,73.43,247446792.98000002
AAL,201407,2684674,115334000,0,0,38.85,,42.96,104299584.9
AAL,201408,2684674,115334000,0,0,38.881,,38.85,104382809.794
AAP,200507,2335771,150774000,0,0,68.96,,64.55,161074768.16
AAP,200508,2335771,150774000,0,0,60.93,,68.96,142318527.03
AAP,200510,6381747,246846000,0,0,37.5,,38.68,239315512.5
AAP,200511,6381747,246846000,0,0,42.34,,37.5,270203167.98
AAP,200601,6946447,301893000,0,0,43.57,,43.46,302656695.79
AAP,200602,6946447,301893000,0,0,41.35,,43.57,287235583.45
AAP,200604,7852381,326973000,0,0,40.22,,41.64,315822763.82
AAP,200605,7852381,326973000,0,0,38.12,,40.22,299332763.71999997
AAP,200607,10041281,290193000,0,0,30.27,,28.9,303949575.87
AAP,200608,10041281,290193000,0,0,30.12,,30.27,302443383.72
AAP,200610,7874612,259390000,0,0,35.02,,32.94,275768912.24
AAP,200611,7874612,259390000,0,0,35.6,,35.02,280336187.2
AAP,200701,3491501,124158000,0,0,37.95,,35.56,132502462.95
AAP,200702,3491501,124158000,0,0,37.65,,37.95,131455012.64999999
AAP,201507,1217455,193928000,0,0,174.21001,,159.28999,212092847.72455
AAP,201508,1217455,193928000,0,0,175.25,,174.21001,213358988.75
AAP,201707,2048852,238876000,0,0,112.01,,116.59,229491912.52
AAP,201708,2048852,238876000,0,0,97.9,,112.01,200582610.8
AAP,201710,2358917,234005000,0,0,81.74,,99.2,192817875.57999998
AAP,201711,2358917,234005000,0,0,101.0,,81.74,238250617.0
AAPL,200501,1576900,101552000,0,0,76.9,,64.4,121263610.00000001
AAPL,200502,1576900,101552000,0,0,44.86,,76.9,70739734.0
AAPL,200504,5547415,231161000,0,0,36.06,,41.67,200039784.9
AAPL,200505,5547415,231161000,0,0,39.7593,,36.06,220561337.2095
AAPL,200507,6244263,229851000,0,0,42.65,,36.81,266317816.95
AAPL,200508,6244263,229851000,0,0,46.89,,42.65,292793492.07
AAPL,200510,5619678,301271000,0,0,57.59,,53.61,323637256.02000004
AAPL,200511,5619678,301271000,0,0,67.82,,57.59,381126561.96
AAPL,200601,2977426,214047000,0,0,75.51,,71.89,224825437.26000002
AAPL,200602,2977426,214047000,0,0,68.49,,75.51,203923906.73999998
AAPL,200604,5256585,329693000,0,0,70.39,,62.72,370011018.15
AAPL,200605,5256585,329693000,0,0,59.77,,70.39,314186085.45
AAPL,200607,1921307,110033000,0,0,67.96,,57.27,130572023.71999998
AAPL,200608,1921307,110033000,0,0,67.85,,67.96,130360679.94999999
AAPL,200610,3723286,286619000,0,0,81.08,,76.98,301884028.88
AAPL,200611,3723286,286619000,0,0,91.66,,81.08,341276394.76
AAPL,200701,2996695,254240000,0,0,85.73,,84.84,256906662.35000002
AAPL,200702,2996695,254240000,0,0,84.61,,85.73,253550363.95
AAPL,200704,2980182,276889000,0,0,99.8,,92.91,297422163.59999996
AAPL,200705,2980182,276889000,0,0,121.191,,99.8,361171236.762
AAPL,200707,1555182,189794000,0,0,131.75999,,122.04,204910764.76817998
AAPL,200708,1555182,189794000,0,0,138.48,,131.75999,215361603.35999998
AAPL,200710,1255882,192740000,0,0,189.95,,153.47,238554785.89999998
AAPL,200711,1255882,192740000,0,0,182.22,,189.95,228846818.04
AAPL,200801,606618,120159000,0,0,135.36,,198.08,82111812.48
AAPL,200802,606618,120159000,0,0,125.02,,135.36,75839382.36
AAPL,200804,2920623,419109000,0,0,173.95,,143.5,508042370.84999996
AAPL,200805,2920623,419109000,0,0,188.75,,173.95,551267591.25
AAPL,200910,3091318,572976000,0,0,188.5,,185.35001,582713443.0
AAPL,200911,3091318,572976000,0,0,199.91,,188.5,617985381.38
AAPL,201001,2525541,532212000,0,0,192.063,,210.73199,485062981.08299994
AAPL,201002,2525541,532212000,0,0,204.62,,192.063,516776199.42
AAPL,201004,2349597,552155000,0,0,261.09,,235.0,613456280.7299999
AAPL,201005,2349597,552155000,0,0,256.88,,261.09,603564477.36
AAPL,201007,2251101,566219000,0,0,257.25,,251.53,579095732.25
AAPL,201008,2251101,566219000,0,0,243.10001,,257.25,547242675.61101
AAPL,201010,5414212,1536282000,0,0,300.98001,,283.75,1629569581.9021199
AAPL,201011,5414212,1536282000,0,0,311.14999,,300.98001,1684632009.65788
AAPL,201101,1714626,553070000,0,0,339.32001,,322.56,581806911.4662601
AAPL,201102,1714626,553070000,0,0,353.20999,,339.32001,605623032.31374
AAPL,201104,1555263,542022000,0,0,350.13,,348.50751,544544234.1899999
AAPL,201105,1555263,542022000,0,0,347.82999,,350.13,540967113.73737
AAPL,201107,1977263,663708000,0,0,390.48001,,335.67001,772081676.01263
AAPL,201108,1977263,663708000,0,0,384.82999,,390.48001,760910100.51737
AAPL,201110,2059427,785301000,0,0,404.78,,381.32001,833614861.06
AAPL,201111,2059427,785301000,0,0,382.20001,,404.78,787113019.9942701
AAPL,201204,1258944,754800000,0,0,583.97998,,599.5499900000001,735198091.9411199
AAPL,201205,1258944,754800000,0,0,577.72998,,583.97998,727329691.9411199
AAPL,201207,1423209,831154000,0,0,610.76001,,584.0,869239143.0720899
