Ticker,Date,Shares,Value,Shares_Change,Value_Change,Price,Class,Last_Price,New_Value
A,201803,0,0,-3607622.0,-241602000.0,66.9,,68.59,-241349911.8
AAL,201409,0,0,-2684674.0,-115334000.0,35.48,,38.881,-95252233.52
AAP,200703,0,0,-3491501.0,-124158000.0,38.55,,37.65,-134597363.54999998
AAP,201509,0,0,-1217455.0,-193928000.0,189.53,,175.25,-230744246.15
AAP,201712,0,0,-2358917.0,-234005000.0,99.69,,101.0,-235160435.73
AAPL,201112,0,0,-2059427.0,-785301000.0,405.0,,382.20001,-834067935.0
AAPL,201212,0,0,-805269.0,-537199000.0,532.17291,,585.28003,-428542347.06279
AAPL,201506,0,0,-6838522.0,-850917000.0,125.425,,130.28,-857721621.85
ABBV,201412,0,0,-5247201.0,-303078000.0,65.44,,69.2,-343376833.44
ACN,201109,0,0,-3325917.0,-200952000.0,52.68,A,53.59,-175209307.56
ADSK,201109,0,0,-900000.0,-34740000.0,27.79,,28.2,-25011000.0
ADSK,201509,0,0,-6158948.0,-308409000.0,44.14,,46.75,-271855964.72
ADSK,201603,0,0,-5732050.0,-349253807.0,58.31,,51.74,-334235835.5
AEA,200512,0,0,-2840000.0,-37630000.0,12.4,A,12.45,-35216000.0
AEO,200803,0,0,-8546293.0,-177507000.0,17.51,,21.37,-149645590.43
AFFY,200709,0,0,-733650.0,-19779000.0,27.06,,24.25,-19852569.0
AGN,201512,0,0,-2607655.0,-708787000.0,312.5,,313.89001,-814892187.5
AGN,201606,0,0,-1789239.0,-479570000.0,231.09,,235.75,-413475240.51
AH,200509,0,0,-1012900.0,-40121000.0,43.01,,42.41,-43564829.0
AH,201112,0,0,-7841405.0,-166473000.0,22.98,,23.08,-180195486.9
AH,201303,0,0,-5333281.0,-61653000.0,10.16,,9.58,-54186134.96
AIG,201306,0,0,-7343600.0,-285079000.0,44.7,,44.46,-328258920.0
ALB,201709,0,0,-1158452.0,-122263000.0,136.31,,116.26,-157908592.12
ALGN,201706,0,0,-2476534.0,-284083000.0,150.12,,145.2,-371777284.08
AMP,201112,0,0,-2351418.0,-92552000.0,49.64,,45.91,-116724389.52
AMT,201109,0,0,-3413095.0,-178607000.0,53.8,A,53.86,-183624511.0
AMZN,200809,0,0,-2527634.0,-185351000.0,72.76,,80.81,-183910649.84
AMZN,201012,0,0,-1583510.0,-248706000.0,180.0,,175.39999,-285031800.0
AMZN,201312,0,0,-773737.0,-241901000.0,398.79001,,393.62,-308558585.96737
AMZN,201703,0,0,-1292728.0,-969378000.0,886.5399800000001,,845.0399800000001,-1146055055.2654402
AN,201409,0,0,-5067310.0,-302417000.0,50.31,,54.25,-254936366.10000002
ANET,201609,0,0,-1871465.0,-120485000.0,85.08,,79.68,-159224242.2
ANET,201709,0,0,-1845638.0,-276458000.0,189.61,,176.14999,-349951421.18
ANF,200903,0,0,-3364819.0,-77626000.0,23.8,A,21.99,-80082692.2
APH,201106,0,0,-776198.0,-42217000.0,53.99,A,54.06,-41906930.02
APOL,200509,0,0,-7521150.0,-588304000.0,66.39,A,78.66,-499329148.5
APOL,200906,0,0,-1888980.0,-147964000.0,71.12,A,59.1,-134344257.6
ARBA,201206,0,0,-1554231.0,-50839000.0,44.76,,44.93,-69567379.56
ARCO,201112,0,0,-824599.0,-19122000.0,20.53,A,21.92,-16929017.470000003
ARG,201309,0,0,-902488.0,-86152000.0,106.05,,101.65,-95708852.39999999
ARRY,200709,0,0,-1146785.0,-13383000.0,11.23,,11.35,-12878395.55
ASML,201406,0,0,-1356218.0,-126617000.0,93.27,,85.88,-126494452.86
ATVI,200906,0,0,-6511264.0,-68108000.0,12.63,,12.08,-82237264.32000001
ATVI,201012,0,0,-13990224.0,-151374000.0,12.44,,11.74,-174038386.56
ATVI,201603,0,0,-11266018.0,-436108000.0,33.84,,31.67,-381242049.12000006
ATVI,201903,0,0,-15671412.0,-729818000.0,45.53,,42.14,-713519388.36
ATVI,201912,0,0,-11244387.0,-595053000.0,59.42,,54.83,-668141475.54
AVGO,201806,0,0,-2737741.0,-645149000.0,242.64,,252.07001,-664285476.24
AXP,201403,0,0,-4392879.0,-398566000.0,90.03,,91.28,-395490896.37
AXP,201609,0,0,-25000.0,-1519000.0,64.04,,65.58,-1601000.0000000002
AZO,201212,0,0,-864249.0,-319487000.0,354.42999,,383.76999,-306315764.42750996
BAC,201703,0,0,-21671362.0,-478937000.0,23.59,,24.68,-511227429.58
BAM,200809,0,0,-7029742.0,-227809000.0,27.44,A,30.94,-192896120.48000002
BAX,200709,0,0,-573000.0,-32283000.0,56.28,,54.76,-32248440.0
BBBY,200512,0,0,-5169232.0,-207700000.0,36.15,,42.6,-186867736.79999998
BBBY,200703,0,0,-409747.0,-15611000.0,40.17,,39.89,-16459536.99
BBBY,201112,0,0,-5467444.0,-313339000.0,57.97,,60.51,-316947728.68
BBY,200512,0,0,-3961999.0,-172466000.0,43.48,,48.24,-172267716.51999998
BEAV,201406,0,0,-3404644.0,-295489000.0,92.49,,96.75,-314895523.56
BIDU,200703,0,0,-961255.0,-108324000.0,96.55,A,106.7,-92809170.25
BIDU,201203,0,0,-2397810.0,-279273000.0,145.77,A,136.7,-349528763.70000005
BIDU,201506,0,0,-5281484.0,-1100661000.0,199.08,A,197.39999,-1051437834.72
BIIB,200506,0,0,-962500.0,-33216000.0,34.45,,39.1,-33158125.000000004
BKNG,201809,0,0,-531060.0,-1076506000.0,1984.0,,1951.55005,-1053623040.0
BKNG,201912,0,0,-211257.0,-414615000.0,2053.72998,,1904.0300300000001,-433864834.38486004
BLK,201806,0,0,-918870.0,-497770000.0,499.04000999999994,,534.22998,-458552893.9887
BNI,200803,0,0,-3636004.0,-302625000.0,92.22,,87.78,-335312288.88
BPOP,201012,0,0,-47719352.0,-138386000.0,3.14,,2.88,-149838765.28
BRCM,200612,0,0,-3872868.0,-117503000.0,32.31,,32.83,-125132365.08000001
BRO,200612,0,0,-2376884.0,-72638000.0,28.21,,29.0,-67051897.64
BSBR,201209,0,0,-16190134.0,-125474000.0,7.37,,7.58,-119321287.58
BSC,200509,0,0,-1173500.0,-121974000.0,109.75,,100.5,-128791625.0
BUD,201212,0,0,-704561.0,-60529000.0,87.41,,87.97,-61585677.01
BUD,201609,0,0,-4207607.0,-554058000.0,131.41,,124.03,-552921635.87
BUD,201803,0,0,-5254307.0,-586170000.0,109.94,,106.18,-577658511.58
BXLT,201606,0,0,-10591296.0,-427888000.0,40.399966160892866,,,-427887999.99999994
C,201112,0,0,-2740726.0,-70217000.0,26.31,,27.48,-72108501.06
CAREMARK RX INC,200512,0,0,-3055826.0,-152577000.0,49.929871661540936,,49.929871661540936,-152577000.0
CBG,200709,0,0,-4471549.0,-163212000.0,27.84,A,29.52,-124487924.16
CBG,200809,0,0,-1070211.0,-205481000.0,13.37,A,13.07,-14308721.069999998
CCI,200812,0,0,-7399788.0,-214372000.0,17.58,,14.07,-130088273.03999999
CCI,201112,0,0,-12145787.0,-493969000.0,44.8,,42.32,-544131257.6
CCI,201303,0,0,-2882801.0,-208023000.0,69.64,,69.8,-200758261.64000002
CCI,201412,0,0,-7845871.0,-631828000.0,78.7,,83.09,-617470047.7
CCL,200603,0,0,-2294400.0,-122682000.0,47.37,,51.65,-108685728.0
CCL,200906,0,0,-8494358.0,-183478000.0,25.77,,25.44,-218899605.66
CCMM,201403,0,0,-774527.0,-105924000.0,136.75959650212323,,136.75959650212323,-105924000.0
CCMM,201606,0,0,-4588878.0,-928927000.0,202.43009293339244,,202.43009293339244,-928927000.0
CDK,201506,0,0,-2636255.0,-123271000.0,53.98,,53.29,-142305044.9
CECO,200506,0,0,-890432.0,-30506000.0,36.61,,34.67,-32598715.52
CECO,201012,0,0,-7936602.0,-170398000.0,20.73,,17.79,-164525759.46
CFX,201306,0,0,-3468370.0,-161418000.0,52.11,,49.9,-180736760.7
CHK,200512,0,0,-2252200.0,-86147000.0,31.73,,28.95,-71462306.0
CHTR,201712,0,0,-700000.0,-254394000.0,335.95999,A,326.20999,-235171993.0
CHTR,201803,0,0,-1727722.0,-580445000.0,311.22,A,341.92999,-537701640.84
CIG,200606,0,0,-1583700.0,-72011000.0,45.47010166066806,,45.47010166066806,-72011000.0
CIG,200612,0,0,-826600.0,-32444000.0,39.24993951125091,,39.24993951125091,-32444000.0
CL,200506,0,0,-1274000.0,-66465000.0,49.91,,49.97,-63585339.99999999
CL,201012,0,0,-5416358.0,-416302000.0,80.37,,76.55,-435312692.46000004
CMCSA,201412,0,0,-13772459.0,-740683000.0,58.01,A,57.04,-798940346.5899999
CMCSA,201712,0,0,-32595590.0,-1254278000.0,40.05,A,37.54,-1305453379.5
CMCSK,200706,0,0,-2149463.0,-54747000.0,27.96,,27.18,-60098985.480000004
CME,200806,0,0,-594936.0,-279084000.0,383.19,A,430.29999000000004,-227973525.84
CME,201403,0,0,-3614948.0,-283629000.0,74.02,A,73.82,-267578450.95999998
CME GROUP INC.,200512,0,0,-212900.0,-71811000.0,337.2992015030531,,337.2992015030531,-71811000.0
CME GROUP INC.,200612,0,0,-184099.0,-88045000.0,478.24811650253395,,478.24811650253395,-88045000.0
